"OrderNumber","SKU","PCS","DATE","x","y","aisle","level","Coord"
"1033","SKU-00066","3","2026-02-13","15.0","17.0","A6","2","[15.0, 17.0]"
"1033","SKU-00067","4","2026-02-14","16.0","17.0","A7","3","[16.0, 17.0]"
"1034","SKU-00068","1","2026-02-15","17.0","17.0","A8","4","[17.0, 17.0]"
"1034","SKU-00069","2","2026-02-16","18.0","17.0","A9","1","[18.0, 17.0]"
"1035","SKU-00070","3","2026-02-17","19.0","17.0","A10","2","[19.0, 17.0]"
"1035","SKU-00071","4","2026-02-18","20.0","17.0","A11","3","[20.0, 17.0]"
"1036","SKU-00072","1","2026-02-19","21.0","17.0","A12","4","[21.0, 17.0]"
"1036","SKU-00073","2","2026-02-20","22.0","17.0","A1","1","[22.0, 17.0]"
"1037","SKU-00074","3","2026-02-21","23.0","17.0","A2","2","[23.0, 17.0]"
"1037","SKU-00075","4","2026-02-22","24.0","17.0","A3","3","[24.0, 17.0]"
"1038","SKU-00076","1","2026-02-23","0.0","22.0","A4","4","[0.0, 22.0]"
"1038","SKU-00077","2","2026-02-24","1.0","22.0","A5","1","[1.0, 22.0]"
"1039","SKU-00078","3","2026-02-25","2.0","22.0","A6","2","[2.0, 22.0]"
"1039","SKU-00079","4","2026-02-26","3.0","22.0","A7","3","[3.0, 22.0]"
"1040","SKU-00080","1","2026-02-27","4.0","22.0","A8","4","[4.0, 22.0]"
"1040","SKU-00081","2","2026-02-01","5.0","22.0","A9","1","[5.0, 22.0]"
"1041","SKU-00082","3","2026-02-02","6.0","22.0","A10","2","[6.0, 22.0]"
"1041","SKU-00083","4","2026-02-03","7.0","22.0","A11","3","[7.0, 22.0]"
"1042","SKU-00084","1","2026-02-04","8.0","22.0","A12","4","[8.0, 22.0]"
"1042","SKU-00085","2","2026-02-05","9.0","22.0","A1","1","[9.0, 22.0]"
"1043","SKU-00086","3","2026-02-06","10.0","22.0","A2","2","[10.0, 22.0]"
"1043","SKU-00087","4","2026-02-07","11.0","22.0","A3","3","[11.0, 22.0]"
"1044","SKU-00088","1","2026-02-08","12.0","22.0","A4","4","[12.0, 22.0]"
"1044","SKU-00089","2","2026-02-09","13.0","22.0","A5","1","[13.0, 22.0]"
"1045","SKU-00090","3","2026-02-10","14.0","22.0","A6","2","[14.0, 22.0]"
"1045","SKU-00091","4","2026-02-11","15.0","22.0","A7","3","[15.0, 22.0]"
"1046","SKU-00092","1","2026-02-12","16.0","22.0","A8","4","[16.0, 22.0]"
"1046","SKU-00093","2","2026-02-13","17.0","22.0","A9","1","[17.0, 22.0]"
"1047","SKU-00094","3","2026-02-14","18.0","22.0","A10","2","[18.0, 22.0]"
"1047","SKU-00095","4","2026-02-15","19.0","22.0","A11","3","[19.0, 22.0]"
"1048","SKU-00096","1","2026-02-16","20.0","22.0","A12","4","[20.0, 22.0]"
"1048","SKU-00097","2","2026-02-17","21.0","22.0","A1","1","[21.0, 22.0]"
"1049","SKU-00098","3","2026-02-18","22.0","22.0","A2","2","[22.0, 22.0]"
"1049","SKU-00099","4","2026-02-19","23.0","22.0","A3","3","[23.0, 22.0]"
"1050","SKU-00100","1","2026-02-20","24.0","22.0","A4","4","[24.0, 22.0]"
"1050","SKU-00101","2","2026-02-21","0.0","27.0","A5","1","[0.0, 27.0]"
"1051","SKU-00102","3","2026-02-22","1.0","27.0","A6","2","[1.0, 27.0]"
"1051","SKU-00103","4","2026-02-23","2.0","27.0","A7","3","[2.0, 27.0]"
"1052","SKU-00104","1","2026-02-24","3.0","27.0","A8","4","[3.0, 27.0]"
"1052","SKU-00105","2","2026-02-25","4.0","27.0","A9","1","[4.0, 27.0]"
"1053","SKU-00106","3","2026-02-26","5.0","27.0","A10","2","[5.0, 27.0]"
"1053","SKU-00107","4","2026-02-27","6.0","27.0","A11","3","[6.0, 27.0]"
"1054","SKU-00108","1","2026-02-01","7.0","27.0","A12","4","[7.0, 27.0]"
"1054","SKU-00109","2","2026-02-02","8.0","27.0","A1","1","[8.0, 27.0]"
"1055","SKU-00110","3","2026-02-03","9.0","27.0","A2","2","[9.0, 27.0]"
"1055","SKU-00111","4","2026-02-04","10.0","27.0","A3","3","[10.0, 27.0]"
"1056","SKU-00112","1","2026-02-05","11.0","27.0","A4","4","[11.0, 27.0]"
"1056","SKU-00113","2","2026-02-06","12.0","27.0","A5","1","[12.0, 27.0]"
"1057","SKU-00114","3","2026-02-07","13.0","27.0","A6","2","[13.0, 27.0]"
"1057","SKU-00115","4","2026-02-08","14.0","27.0","A7","3","[14.0, 27.0]"
"1058","SKU-00116","1","2026-02-09","15.0","27.0","A8","4","[15.0, 27.0]"
"1058","SKU-00117","2","2026-02-10","16.0","27.0","A9","1","[16.0, 27.0]"
"1059","SKU-00118","3","2026-02-11","17.0","27.0","A10","2","[17.0, 27.0]"
"1059","SKU-00119","4","2026-02-12","18.0","27.0","A11","3","[18.0, 27.0]"
"1060","SKU-00120","1","2026-02-13","19.0","27.0","A12","4","[19.0, 27.0]"
